zeme,datum,pocet
Thajsko,2016-01-01,5.0
Taiwan,2016-01-01,8.0
Čína,2016-01-01,8.0
Německo,2016-01-02,32.0
Thajsko,2016-01-02,3.0
Kanada,2016-01-02,12.0
Lotyšsko,2016-01-02,3.0
Spojené státy americké,2016-01-02,39.0
Japonsko,2016-01-02,4.0
Rusko,2016-01-02,10.0
Norsko,2016-01-02,4.0
Švýcarsko,2016-01-02,3.0
Slovensko,2016-01-02,60.0
Austrálie,2016-01-02,4.0
Spojené arabské emiráty,2016-01-02,3.0
Itálie,2016-01-02,1.0
Velká Británie a Severní Irsko,2016-01-02,12.0
Srbsko,2016-01-02,4.0
Bělorusko,2016-01-02,1.0
Ukrajina,2016-01-02,3.0
Dánsko,2016-01-02,2.0
Litva,2016-01-02,1.0
Polsko,2016-01-02,18.0
Španělsko,2016-01-02,5.0
Česká republika,2016-01-02,2.0
Nizozemsko,2016-01-02,5.0
Taiwan,2016-01-02,5.0
Čína,2016-01-02,23.0
Vietnam,2016-01-02,8.0
Francie,2016-01-02,8.0
Korejská republika,2016-01-02,12.0
Švédsko,2016-01-02,3.0
Rakousko,2016-01-02,3.0
Moldavsko,2016-01-02,3.0
Thajsko,2016-01-03,5.0
Kanada,2016-01-03,2.0
Spojené státy americké,2016-01-03,18.0
Rusko,2016-01-03,3.0
Irsko,2016-01-03,3.0
Švýcarsko,2016-01-03,4.0
Jižní Afrika,2016-01-03,2.0
Slovensko,2016-01-03,50.0
Austrálie,2016-01-03,25.0
Velká Británie a Severní Irsko,2016-01-03,2.0
Španělsko,2016-01-03,4.0
Česká republika,2016-01-03,2.0
Taiwan,2016-01-03,4.0
Čína,2016-01-03,135.0
Vietnam,2016-01-03,6.0
Francie,2016-01-03,4.0
Švédsko,2016-01-03,12.0
Rakousko,2016-01-03,1.0
Německo,2016-01-04,288.0
Thajsko,2016-01-04,25.0
Kanada,2016-01-04,15.0
Portugalsko,2016-01-04,2.0
Lotyšsko,2016-01-04,2.0
Spojené státy americké,2016-01-04,246.0
Japonsko,2016-01-04,8.0
Rusko,2016-01-04,74.0
Indie,2016-01-04,3.0
Irsko,2016-01-04,8.0
Mexiko,2016-01-04,2.0
Finsko,2016-01-04,12.0
Norsko,2016-01-04,18.0
Bosna a Hercegovina,2016-01-04,12.0
Švýcarsko,2016-01-04,72.0
Jižní Afrika,2016-01-04,2.0
Maďarsko,2016-01-04,27.0
Slovensko,2016-01-04,2064.0
Austrálie,2016-01-04,48.0
Spojené arabské emiráty,2016-01-04,25.0
Uzbekistán,2016-01-04,5.0
Chorvatsko,2016-01-04,4.0
Kuvajt,2016-01-04,4.0
Itálie,2016-01-04,96.0
Bulharsko,2016-01-04,20.0
Kypr,2016-01-04,30.0
Lucembursko,2016-01-04,4.0
Velká Británie a Severní Irsko,2016-01-04,250.0
Kolumbie,2016-01-04,2.0
Kazachstán,2016-01-04,6.0
Malajsie,2016-01-04,5.0
Turecko (včetně Severokyperské Republiky),2016-01-04,10.0
Bělorusko,2016-01-04,12.0
Řecko,2016-01-04,12.0
Slovinsko,2016-01-04,15.0
Island,2016-01-04,1.0
Ukrajina,2016-01-04,40.0
Dánsko,2016-01-04,25.0
Litva,2016-01-04,3.0
Polsko,2016-01-04,260.0
Španělsko,2016-01-04,60.0
Černá Hora,2016-01-04,2.0
Belgie,2016-01-04,9.0
Omán,2016-01-04,5.0
Pákistán,2016-01-04,16.0
Česká republika,2016-01-04,10.0
Nizozemsko,2016-01-04,88.0
Izrael,2016-01-04,6.0
Singapur,2016-01-04,8.0
Taiwan,2016-01-04,40.0
Čína,2016-01-04,570.0
Saúdská Arábie,2016-01-04,16.0
Malta,2016-01-04,6.0
Vietnam,2016-01-04,30.0
Nový Zéland,2016-01-04,12.0
Francie,2016-01-04,85.0
Rumunsko,2016-01-04,12.0
Indonésie,2016-01-04,2.0
Korejská republika,2016-01-04,39.0
Švédsko,2016-01-04,12.0
Rakousko,2016-01-04,44.0
Alžírsko,2016-01-04,3.0
Kyrgyzstán,2016-01-04,2.0
Nigérie,2016-01-04,4.0
Hong Kong,2016-01-04,35.0
Gruzie,2016-01-04,10.0
Estonsko,2016-01-04,20.0
Nová Kaledonie,2016-01-04,5.0
Srí Lanka,2016-01-04,5.0
Tádžikistán,2016-01-04,1.0
Katar,2016-01-04,5.0
Afghánistán,2016-01-04,2.0
Čad,2016-01-04,1.0
Monako,2016-01-04,4.0
Německo,2016-01-05,560.0
Thajsko,2016-01-05,5.0
Kanada,2016-01-05,22.0
Spojené státy americké,2016-01-05,524.0
Japonsko,2016-01-05,30.0
Rusko,2016-01-05,108.0
Indie,2016-01-05,2.0
Irsko,2016-01-05,10.0
Mexiko,2016-01-05,1.0
Finsko,2016-01-05,9.0
Norsko,2016-01-05,24.0
Švýcarsko,2016-01-05,44.0
Maďarsko,2016-01-05,116.0
Slovensko,2016-01-05,2800.0
Irán,2016-01-05,4.0
Austrálie,2016-01-05,52.0
Spojené arabské emiráty,2016-01-05,2.0
Uzbekistán,2016-01-05,1.0
Chorvatsko,2016-01-05,20.0
Itálie,2016-01-05,92.0
Bulharsko,2016-01-05,8.0
Kypr,2016-01-05,5.0
Velká Británie a Severní Irsko,2016-01-05,212.0
Brazílie,2016-01-05,16.0
Kazachstán,2016-01-05,3.0
Srbsko,2016-01-05,1.0
Turecko (včetně Severokyperské Republiky),2016-01-05,24.0
Lichtenštejnsko,2016-01-05,1.0
Bělorusko,2016-01-05,5.0
Řecko,2016-01-05,12.0
Slovinsko,2016-01-05,8.0
Island,2016-01-05,8.0
Ukrajina,2016-01-05,20.0
Dánsko,2016-01-05,5.0
Filipíny,2016-01-05,3.0
Litva,2016-01-05,12.0
Polsko,2016-01-05,250.0
Španělsko,2016-01-05,18.0
Belgie,2016-01-05,10.0
Pákistán,2016-01-05,10.0
Česká republika,2016-01-05,50.0
Nizozemsko,2016-01-05,92.0
Izrael,2016-01-05,12.0
Singapur,2016-01-05,3.0
Taiwan,2016-01-05,44.0
Čína,2016-01-05,573.0
Vietnam,2016-01-05,12.0
Nový Zéland,2016-01-05,15.0
Ázerbájdžán,2016-01-05,4.0
Francie,2016-01-05,84.0
Rumunsko,2016-01-05,20.0
Indonésie,2016-01-05,3.0
Korejská republika,2016-01-05,9.0
Švédsko,2016-01-05,7.0
Mongolsko,2016-01-05,15.0
Argentina,2016-01-05,8.0
Rakousko,2016-01-05,96.0
Kyrgyzstán,2016-01-05,16.0
Moldavsko,2016-01-05,5.0
Keňa,2016-01-05,1.0
Nigérie,2016-01-05,2.0
Hong Kong,2016-01-05,5.0
Chile,2016-01-05,1.0
Niue,2016-01-05,1.0
Zambie,2016-01-05,2.0
Tunisko,2016-01-05,2.0
Korejská lid. dem. republika,2016-01-05,15.0
Katar,2016-01-05,5.0
Gibraltar,2016-01-05,3.0
Brunej,2016-01-05,2.0
Kostarika,2016-01-05,4.0
Německo,2016-01-06,114.0
Thajsko,2016-01-06,15.0
Kanada,2016-01-06,75.0
Portugalsko,2016-01-06,6.0
Spojené státy americké,2016-01-06,104.0
Japonsko,2016-01-06,21.0
Rusko,2016-01-06,270.0
Indie,2016-01-06,8.0
Irsko,2016-01-06,12.0
Finsko,2016-01-06,18.0
Norsko,2016-01-06,21.0
Bosna a Hercegovina,2016-01-06,5.0
Švýcarsko,2016-01-06,63.0
Maďarsko,2016-01-06,45.0
Slovensko,2016-01-06,1884.0
Irán,2016-01-06,2.0
Austrálie,2016-01-06,36.0
Chorvatsko,2016-01-06,2.0
Itálie,2016-01-06,92.0
Bulharsko,2016-01-06,28.0
Kypr,2016-01-06,6.0
Lucembursko,2016-01-06,5.0
Velká Británie a Severní Irsko,2016-01-06,180.0
Kolumbie,2016-01-06,4.0
Brazílie,2016-01-06,3.0
Kazachstán,2016-01-06,20.0
Srbsko,2016-01-06,10.0
Malajsie,2016-01-06,5.0
Turecko (včetně Severokyperské Republiky),2016-01-06,6.0
Bělorusko,2016-01-06,35.0
Řecko,2016-01-06,6.0
Slovinsko,2016-01-06,6.0
Island,2016-01-06,4.0
Ukrajina,2016-01-06,39.0
Dánsko,2016-01-06,15.0
Filipíny,2016-01-06,4.0
Litva,2016-01-06,8.0
Polsko,2016-01-06,152.0
Španělsko,2016-01-06,9.0
Belgie,2016-01-06,36.0
Pákistán,2016-01-06,2.0
Arménie,2016-01-06,10.0
Česká republika,2016-01-06,6.0
Nizozemsko,2016-01-06,32.0
Izrael,2016-01-06,16.0
Singapur,2016-01-06,10.0
Taiwan,2016-01-06,14.0
Čína,2016-01-06,2080.0
Malta,2016-01-06,3.0
Vietnam,2016-01-06,35.0
Nový Zéland,2016-01-06,12.0
Francie,2016-01-06,20.0
Rumunsko,2016-01-06,15.0
Indonésie,2016-01-06,1.0
Korejská republika,2016-01-06,27.0
Švédsko,2016-01-06,16.0
Mongolsko,2016-01-06,20.0
Rakousko,2016-01-06,57.0
Keňa,2016-01-06,5.0
Hong Kong,2016-01-06,6.0
Gruzie,2016-01-06,1.0
Kuba,2016-01-06,32.0
Estonsko,2016-01-06,2.0
Andorra,2016-01-06,12.0
Jordánsko,2016-01-06,3.0
Tunisko,2016-01-06,6.0
Togo,2016-01-06,8.0
Německo,2016-01-07,423.0
Thajsko,2016-01-07,10.0
Kanada,2016-01-07,140.0
Lotyšsko,2016-01-07,3.0
Spojené státy americké,2016-01-07,550.0
Japonsko,2016-01-07,95.0
Rusko,2016-01-07,92.0
Indie,2016-01-07,1.0
Irsko,2016-01-07,6.0
Mexiko,2016-01-07,4.0
Finsko,2016-01-07,3.0
Norsko,2016-01-07,4.0
Švýcarsko,2016-01-07,30.0
Uruguay,2016-01-07,3.0
Maďarsko,2016-01-07,39.0
Slovensko,2016-01-07,1970.0
Irán,2016-01-07,1.0
Austrálie,2016-01-07,95.0
Spojené arabské emiráty,2016-01-07,2.0
Chorvatsko,2016-01-07,15.0
Itálie,2016-01-07,58.0
Bulharsko,2016-01-07,1.0
Kypr,2016-01-07,2.0
Lucembursko,2016-01-07,2.0
Velká Británie a Severní Irsko,2016-01-07,207.0
Brazílie,2016-01-07,1.0
Kazachstán,2016-01-07,2.0
Srbsko,2016-01-07,6.0
Malajsie,2016-01-07,8.0
Turecko (včetně Severokyperské Republiky),2016-01-07,35.0
Lichtenštejnsko,2016-01-07,12.0
Bělorusko,2016-01-07,4.0
Řecko,2016-01-07,9.0
Slovinsko,2016-01-07,1.0
Island,2016-01-07,3.0
Ukrajina,2016-01-07,48.0
Dánsko,2016-01-07,50.0
Filipíny,2016-01-07,2.0
Litva,2016-01-07,15.0
Polsko,2016-01-07,192.0
Španělsko,2016-01-07,26.0
Belgie,2016-01-07,25.0
Peru,2016-01-07,6.0
Česká republika,2016-01-07,24.0
Nizozemsko,2016-01-07,65.0
Izrael,2016-01-07,15.0
Singapur,2016-01-07,9.0
Taiwan,2016-01-07,45.0
Čína,2016-01-07,139.0
Saúdská Arábie,2016-01-07,4.0
Malta,2016-01-07,10.0
Vietnam,2016-01-07,48.0
Nový Zéland,2016-01-07,4.0
Francie,2016-01-07,60.0
Rumunsko,2016-01-07,12.0
Indonésie,2016-01-07,5.0
Korejská republika,2016-01-07,20.0
Švédsko,2016-01-07,6.0
Mongolsko,2016-01-07,6.0
Argentina,2016-01-07,8.0
Rakousko,2016-01-07,132.0
Kyrgyzstán,2016-01-07,1.0
Moldavsko,2016-01-07,1.0
Libanon,2016-01-07,5.0
Hong Kong,2016-01-07,5.0
Gruzie,2016-01-07,4.0
Chile,2016-01-07,2.0
Kuba,2016-01-07,6.0
Estonsko,2016-01-07,4.0
Egypt,2016-01-07,5.0
Andorra,2016-01-07,5.0
Zambie,2016-01-07,5.0
Katar,2016-01-07,4.0
Eswatini,2016-01-07,6.0
Německo,2016-01-08,396.0
Thajsko,2016-01-08,25.0
Kanada,2016-01-08,34.0
Portugalsko,2016-01-08,25.0
Lotyšsko,2016-01-08,3.0
Spojené státy americké,2016-01-08,585.0
Japonsko,2016-01-08,52.0
Rusko,2016-01-08,219.0
Indie,2016-01-08,5.0
Irsko,2016-01-08,3.0
Finsko,2016-01-08,12.0
Norsko,2016-01-08,6.0
Švýcarsko,2016-01-08,63.0
Maďarsko,2016-01-08,130.0
Slovensko,2016-01-08,1142.0
Albánie,2016-01-08,3.0
Austrálie,2016-01-08,115.0
Spojené arabské emiráty,2016-01-08,8.0
Uzbekistán,2016-01-08,30.0
Chorvatsko,2016-01-08,6.0
Itálie,2016-01-08,110.0
Bulharsko,2016-01-08,24.0
Lucembursko,2016-01-08,3.0
Velká Británie a Severní Irsko,2016-01-08,55.0
Brazílie,2016-01-08,20.0
Kazachstán,2016-01-08,4.0
Srbsko,2016-01-08,10.0
Malajsie,2016-01-08,2.0
Turecko (včetně Severokyperské Republiky),2016-01-08,6.0
Bolívie,2016-01-08,2.0
Bělorusko,2016-01-08,16.0
Řecko,2016-01-08,6.0
Slovinsko,2016-01-08,40.0
Island,2016-01-08,2.0
Ukrajina,2016-01-08,18.0
Dánsko,2016-01-08,11.0
Litva,2016-01-08,20.0
Polsko,2016-01-08,186.0
Španělsko,2016-01-08,54.0
Belgie,2016-01-08,24.0
Pákistán,2016-01-08,6.0
Česká republika,2016-01-08,16.0
Nizozemsko,2016-01-08,25.0
Izrael,2016-01-08,44.0
Singapur,2016-01-08,1.0
Taiwan,2016-01-08,56.0
Čína,2016-01-08,1812.0
Malta,2016-01-08,5.0
Vietnam,2016-01-08,36.0
Nový Zéland,2016-01-08,1.0
Ázerbájdžán,2016-01-08,7.0
Francie,2016-01-08,120.0
Rumunsko,2016-01-08,12.0
Indonésie,2016-01-08,9.0
Korejská republika,2016-01-08,25.0
Švédsko,2016-01-08,24.0
Maroko,2016-01-08,6.0
Rakousko,2016-01-08,140.0
Kyrgyzstán,2016-01-08,10.0
Moldavsko,2016-01-08,2.0
Keňa,2016-01-08,4.0
Nigérie,2016-01-08,10.0
Hong Kong,2016-01-08,10.0
Estonsko,2016-01-08,3.0
Nová Kaledonie,2016-01-08,5.0
Andorra,2016-01-08,5.0
Curaçao,2016-01-08,2.0
Tunisko,2016-01-08,10.0
Korejská lid. dem. republika,2016-01-08,5.0
Guatemala,2016-01-08,2.0
Německo,2016-01-09,45.0
Thajsko,2016-01-09,9.0
Kanada,2016-01-09,6.0
Portugalsko,2016-01-09,4.0
Spojené státy americké,2016-01-09,172.0
Rusko,2016-01-09,19.0
Norsko,2016-01-09,6.0
Švýcarsko,2016-01-09,5.0
Maďarsko,2016-01-09,3.0
Slovensko,2016-01-09,62.0
Austrálie,2016-01-09,4.0
Itálie,2016-01-09,10.0
Bulharsko,2016-01-09,1.0
Velká Británie a Severní Irsko,2016-01-09,17.0
Kolumbie,2016-01-09,1.0
Brazílie,2016-01-09,15.0
Kazachstán,2016-01-09,4.0
Turecko (včetně Severokyperské Republiky),2016-01-09,2.0
Bělorusko,2016-01-09,6.0
Slovinsko,2016-01-09,2.0
Ukrajina,2016-01-09,12.0
Polsko,2016-01-09,35.0
Španělsko,2016-01-09,1.0
Pákistán,2016-01-09,3.0
Česká republika,2016-01-09,4.0
Izrael,2016-01-09,5.0
Singapur,2016-01-09,1.0
Taiwan,2016-01-09,15.0
Čína,2016-01-09,144.0
Vietnam,2016-01-09,45.0
Francie,2016-01-09,4.0
Korejská republika,2016-01-09,1.0
Švédsko,2016-01-09,8.0
Mongolsko,2016-01-09,2.0
Rakousko,2016-01-09,2.0
Hong Kong,2016-01-09,8.0
Gruzie,2016-01-09,4.0
Srí Lanka,2016-01-09,3.0
Německo,2016-01-10,10.0
Spojené státy americké,2016-01-10,30.0
Rusko,2016-01-10,25.0
Švýcarsko,2016-01-10,1.0
Slovensko,2016-01-10,80.0
Itálie,2016-01-10,6.0
Velká Británie a Severní Irsko,2016-01-10,6.0
Ukrajina,2016-01-10,2.0
Litva,2016-01-10,1.0
Polsko,2016-01-10,4.0
Belgie,2016-01-10,3.0
Nizozemsko,2016-01-10,3.0
Čína,2016-01-10,25.0
Vietnam,2016-01-10,4.0
Francie,2016-01-10,12.0
Rakousko,2016-01-10,6.0
Německo,2016-01-11,736.0
Thajsko,2016-01-11,12.0
Kanada,2016-01-11,20.0
Portugalsko,2016-01-11,15.0
Lotyšsko,2016-01-11,16.0
Spojené státy americké,2016-01-11,230.0
Japonsko,2016-01-11,14.0
Rusko,2016-01-11,252.0
Indie,2016-01-11,6.0
Irsko,2016-01-11,24.0
Mexiko,2016-01-11,1.0
Finsko,2016-01-11,40.0
Norsko,2016-01-11,30.0
Bosna a Hercegovina,2016-01-11,15.0
Švýcarsko,2016-01-11,74.0
Jižní Afrika,2016-01-11,3.0
Maďarsko,2016-01-11,65.0
Slovensko,2016-01-11,1262.0
Austrálie,2016-01-11,72.0
Spojené arabské emiráty,2016-01-11,4.0
Uzbekistán,2016-01-11,6.0
Chorvatsko,2016-01-11,4.0
Kuvajt,2016-01-11,3.0
Itálie,2016-01-11,120.0
Bulharsko,2016-01-11,10.0
Kypr,2016-01-11,10.0
Lucembursko,2016-01-11,6.0
Velká Británie a Severní Irsko,2016-01-11,142.0
Kazachstán,2016-01-11,4.0
Srbsko,2016-01-11,10.0
Turecko (včetně Severokyperské Republiky),2016-01-11,10.0
Bělorusko,2016-01-11,2.0
Řecko,2016-01-11,8.0
Slovinsko,2016-01-11,15.0
Ukrajina,2016-01-11,40.0
Dánsko,2016-01-11,20.0
Filipíny,2016-01-11,3.0
Litva,2016-01-11,16.0
Polsko,2016-01-11,168.0
Španělsko,2016-01-11,13.0
Černá Hora,2016-01-11,3.0
Belgie,2016-01-11,28.0
Pákistán,2016-01-11,2.0
Česká republika,2016-01-11,20.0
Nizozemsko,2016-01-11,60.0
Izrael,2016-01-11,9.0
Makedonie,2016-01-11,1.0
Singapur,2016-01-11,5.0
Taiwan,2016-01-11,60.0
Čína,2016-01-11,4812.0
Malta,2016-01-11,4.0
Vietnam,2016-01-11,80.0
Nový Zéland,2016-01-11,4.0
Francie,2016-01-11,155.0
Rumunsko,2016-01-11,16.0
Indonésie,2016-01-11,3.0
Korejská republika,2016-01-11,36.0
Švédsko,2016-01-11,65.0
Mongolsko,2016-01-11,12.0
Argentina,2016-01-11,5.0
Rakousko,2016-01-11,93.0
Kyrgyzstán,2016-01-11,8.0
Moldavsko,2016-01-11,9.0
Hong Kong,2016-01-11,6.0
Chile,2016-01-11,5.0
Kuba,2016-01-11,4.0
Estonsko,2016-01-11,15.0
Egypt,2016-01-11,4.0
Tanzanie,2016-01-11,4.0
Tunisko,2016-01-11,5.0
Katar,2016-01-11,12.0
Kajmanské ostrovy,2016-01-11,2.0
Guatemala,2016-01-11,5.0
Německo,2016-01-12,244.0
Thajsko,2016-01-12,1.0
Kanada,2016-01-12,15.0
Portugalsko,2016-01-12,20.0
Lotyšsko,2016-01-12,1.0
Spojené státy americké,2016-01-12,232.0
Japonsko,2016-01-12,45.0
Rusko,2016-01-12,198.0
Indie,2016-01-12,5.0
Irsko,2016-01-12,14.0
Finsko,2016-01-12,18.0
Norsko,2016-01-12,4.0
Bosna a Hercegovina,2016-01-12,4.0
Švýcarsko,2016-01-12,100.0
Jižní Afrika,2016-01-12,4.0
Maďarsko,2016-01-12,129.0
Slovensko,2016-01-12,3025.0
Austrálie,2016-01-12,30.0
Spojené arabské emiráty,2016-01-12,10.0
Uzbekistán,2016-01-12,3.0
Chorvatsko,2016-01-12,2.0
Itálie,2016-01-12,120.0
Bulharsko,2016-01-12,12.0
Kypr,2016-01-12,2.0
Lucembursko,2016-01-12,12.0
Velká Británie a Severní Irsko,2016-01-12,50.0
Brazílie,2016-01-12,5.0
Kazachstán,2016-01-12,2.0
Srbsko,2016-01-12,4.0
Malajsie,2016-01-12,5.0
Turecko (včetně Severokyperské Republiky),2016-01-12,10.0
Bělorusko,2016-01-12,2.0
Řecko,2016-01-12,32.0
Slovinsko,2016-01-12,15.0
Island,2016-01-12,3.0
Ukrajina,2016-01-12,18.0
Dánsko,2016-01-12,6.0
Litva,2016-01-12,15.0
Polsko,2016-01-12,236.0
Španělsko,2016-01-12,18.0
Černá Hora,2016-01-12,3.0
Belgie,2016-01-12,45.0
Omán,2016-01-12,4.0
Česká republika,2016-01-12,14.0
Nizozemsko,2016-01-12,76.0
Izrael,2016-01-12,15.0
Makedonie,2016-01-12,5.0
Ekvádor,2016-01-12,2.0
Singapur,2016-01-12,8.0
Taiwan,2016-01-12,9.0
Čína,2016-01-12,1700.0
Saúdská Arábie,2016-01-12,5.0
Vietnam,2016-01-12,33.0
Nový Zéland,2016-01-12,8.0
Francie,2016-01-12,115.0
Rumunsko,2016-01-12,10.0
Indonésie,2016-01-12,5.0
Korejská republika,2016-01-12,30.0
Švédsko,2016-01-12,21.0
Argentina,2016-01-12,4.0
Rakousko,2016-01-12,170.0
Alžírsko,2016-01-12,3.0
Kyrgyzstán,2016-01-12,5.0
Nigérie,2016-01-12,1.0
Hong Kong,2016-01-12,35.0
Chile,2016-01-12,15.0
Estonsko,2016-01-12,15.0
Srí Lanka,2016-01-12,10.0
Tunisko,2016-01-12,4.0
Katar,2016-01-12,1.0
Martinik,2016-01-12,4.0
Německo,2016-01-13,420.0
Thajsko,2016-01-13,3.0
Kanada,2016-01-13,38.0
Portugalsko,2016-01-13,6.0
Lotyšsko,2016-01-13,3.0
Spojené státy americké,2016-01-13,535.0
Japonsko,2016-01-13,6.0
Rusko,2016-01-13,225.0
Indie,2016-01-13,16.0
Irsko,2016-01-13,8.0
Finsko,2016-01-13,18.0
Norsko,2016-01-13,12.0
Švýcarsko,2016-01-13,80.0
Maďarsko,2016-01-13,57.0
Slovensko,2016-01-13,1638.0
Austrálie,2016-01-13,60.0
Spojené arabské emiráty,2016-01-13,3.0
Uzbekistán,2016-01-13,8.0
Chorvatsko,2016-01-13,15.0
Kuvajt,2016-01-13,5.0
Itálie,2016-01-13,160.0
Bulharsko,2016-01-13,6.0
Kypr,2016-01-13,12.0
Velká Británie a Severní Irsko,2016-01-13,138.0
Kazachstán,2016-01-13,8.0
Malajsie,2016-01-13,9.0
Turecko (včetně Severokyperské Republiky),2016-01-13,20.0
Bělorusko,2016-01-13,14.0
Etiopie,2016-01-13,1.0
Řecko,2016-01-13,7.0
Slovinsko,2016-01-13,6.0
Island,2016-01-13,10.0
Ukrajina,2016-01-13,31.0
Dánsko,2016-01-13,24.0
Litva,2016-01-13,15.0
Polsko,2016-01-13,189.0
Španělsko,2016-01-13,16.0
Belgie,2016-01-13,35.0
Česká republika,2016-01-13,6.0
Nizozemsko,2016-01-13,92.0
Izrael,2016-01-13,21.0
Singapur,2016-01-13,6.0
Taiwan,2016-01-13,15.0
Čína,2016-01-13,524.0
Vietnam,2016-01-13,32.0
Nový Zéland,2016-01-13,4.0
Ázerbájdžán,2016-01-13,10.0
Francie,2016-01-13,165.0
Rumunsko,2016-01-13,21.0
Indonésie,2016-01-13,9.0
Korejská republika,2016-01-13,16.0
Švédsko,2016-01-13,26.0
Mongolsko,2016-01-13,15.0
Rakousko,2016-01-13,64.0
Moldavsko,2016-01-13,5.0
Hong Kong,2016-01-13,4.0
Gruzie,2016-01-13,4.0
Estonsko,2016-01-13,4.0
Tanzanie,2016-01-13,3.0
Tádžikistán,2016-01-13,3.0
Tunisko,2016-01-13,4.0
Německo,2016-01-14,524.0
Thajsko,2016-01-14,3.0
Kanada,2016-01-14,17.0
Portugalsko,2016-01-14,4.0
Lotyšsko,2016-01-14,2.0
Spojené státy americké,2016-01-14,160.0
Japonsko,2016-01-14,32.0
Rusko,2016-01-14,390.0
Indie,2016-01-14,10.0
Irsko,2016-01-14,25.0
Mexiko,2016-01-14,2.0
Finsko,2016-01-14,16.0
Norsko,2016-01-14,24.0
Bosna a Hercegovina,2016-01-14,8.0
Švýcarsko,2016-01-14,120.0
Jižní Afrika,2016-01-14,1.0
Maďarsko,2016-01-14,4.0
Slovensko,2016-01-14,2072.0
Irán,2016-01-14,3.0
Austrálie,2016-01-14,84.0
Spojené arabské emiráty,2016-01-14,10.0
Uzbekistán,2016-01-14,3.0
Chorvatsko,2016-01-14,2.0
Itálie,2016-01-14,64.0
Bulharsko,2016-01-14,12.0
Kypr,2016-01-14,2.0
Velká Británie a Severní Irsko,2016-01-14,144.0
Brazílie,2016-01-14,10.0
Kazachstán,2016-01-14,4.0
Srbsko,2016-01-14,3.0
Turecko (včetně Severokyperské Republiky),2016-01-14,16.0
Lichtenštejnsko,2016-01-14,4.0
Bělorusko,2016-01-14,15.0
Etiopie,2016-01-14,2.0
Řecko,2016-01-14,1.0
Slovinsko,2016-01-14,2.0
Island,2016-01-14,8.0
Ukrajina,2016-01-14,80.0
Dánsko,2016-01-14,24.0
Litva,2016-01-14,10.0
Polsko,2016-01-14,123.0
Španělsko,2016-01-14,42.0
Belgie,2016-01-14,60.0
Arménie,2016-01-14,4.0
Česká republika,2016-01-14,8.0
Nizozemsko,2016-01-14,39.0
Izrael,2016-01-14,8.0
Makedonie,2016-01-14,2.0
Singapur,2016-01-14,1.0
Taiwan,2016-01-14,20.0
Čína,2016-01-14,594.0
Saúdská Arábie,2016-01-14,1.0
Malta,2016-01-14,2.0
Vietnam,2016-01-14,70.0
Nový Zéland,2016-01-14,10.0
Francie,2016-01-14,140.0
Rumunsko,2016-01-14,7.0
Indonésie,2016-01-14,5.0
Korejská republika,2016-01-14,60.0
Švédsko,2016-01-14,21.0
Mongolsko,2016-01-14,16.0
Rakousko,2016-01-14,72.0
Alžírsko,2016-01-14,8.0
Kyrgyzstán,2016-01-14,3.0
Moldavsko,2016-01-14,3.0
Libanon,2016-01-14,5.0
Hong Kong,2016-01-14,4.0
Gruzie,2016-01-14,3.0
Kuba,2016-01-14,5.0
Estonsko,2016-01-14,5.0
Guernsey,2016-01-14,5.0
Niue,2016-01-14,5.0
Katar,2016-01-14,1.0
Burkina Faso,2016-01-14,5.0
Německo,2016-01-15,680.0
Thajsko,2016-01-15,12.0
Kanada,2016-01-15,55.0
Portugalsko,2016-01-15,5.0
Lotyšsko,2016-01-15,12.0
Spojené státy americké,2016-01-15,339.0
Japonsko,2016-01-15,20.0
Rusko,2016-01-15,134.0
Indie,2016-01-15,10.0
Irsko,2016-01-15,21.0
Finsko,2016-01-15,30.0
Norsko,2016-01-15,24.0
Bosna a Hercegovina,2016-01-15,2.0
Švýcarsko,2016-01-15,27.0
Maďarsko,2016-01-15,75.0
Slovensko,2016-01-15,478.0
Irán,2016-01-15,10.0
Austrálie,2016-01-15,75.0
Spojené arabské emiráty,2016-01-15,10.0
Chorvatsko,2016-01-15,12.0
Itálie,2016-01-15,185.0
Bulharsko,2016-01-15,8.0
Kypr,2016-01-15,12.0
Velká Británie a Severní Irsko,2016-01-15,82.0
Brazílie,2016-01-15,3.0
Kazachstán,2016-01-15,30.0
Srbsko,2016-01-15,3.0
Turecko (včetně Severokyperské Republiky),2016-01-15,12.0
Bělorusko,2016-01-15,4.0
Řecko,2016-01-15,6.0
Slovinsko,2016-01-15,20.0
Island,2016-01-15,6.0
Ukrajina,2016-01-15,12.0
Dánsko,2016-01-15,7.0
Filipíny,2016-01-15,15.0
Litva,2016-01-15,20.0
Polsko,2016-01-15,141.0
Španělsko,2016-01-15,36.0
Belgie,2016-01-15,30.0
Arménie,2016-01-15,4.0
Česká republika,2016-01-15,2.0
Nizozemsko,2016-01-15,10.0
Izrael,2016-01-15,3.0
Singapur,2016-01-15,3.0
Taiwan,2016-01-15,25.0
Čína,2016-01-15,1832.0
Saúdská Arábie,2016-01-15,5.0
Vietnam,2016-01-15,34.0
Nový Zéland,2016-01-15,6.0
Ázerbájdžán,2016-01-15,3.0
Francie,2016-01-15,90.0
Rumunsko,2016-01-15,12.0
Indonésie,2016-01-15,6.0
Korejská republika,2016-01-15,56.0
Švédsko,2016-01-15,36.0
