,variable,value
Thajsko,2016-01-01,3.655
Taiwan,2016-01-01,2.5775
Čína,2016-01-01,4.92375
Německo,2016-01-02,1.602375
Thajsko,2016-01-02,4.195
Kanada,2016-01-02,5.273333333333
Lotyšsko,2016-01-02,6.205
Spojené státy americké,2016-01-02,4.798384615384
Japonsko,2016-01-02,2.0745
Rusko,2016-01-02,4.882
Norsko,2016-01-02,3.44
Švýcarsko,2016-01-02,9.565
Slovensko,2016-01-02,2.5614
Austrálie,2016-01-02,4.9025
Spojené arabské emiráty,2016-01-02,2.055
Itálie,2016-01-02,19.17
Velká Británie a Severní Irsko,2016-01-02,2.1655
Srbsko,2016-01-02,1.495
Bělorusko,2016-01-02,4.79
Ukrajina,2016-01-02,0.073
Dánsko,2016-01-02,2.67
Litva,2016-01-02,9.055
Polsko,2016-01-02,2.862333333333
Španělsko,2016-01-02,3.465
Česká republika,2016-01-02,12.5
Nizozemsko,2016-01-02,6.34
Taiwan,2016-01-02,6.525
Čína,2016-01-02,6.244347826086
Vietnam,2016-01-02,6.538
Francie,2016-01-02,2.2445
Korejská republika,2016-01-02,3.365
Švédsko,2016-01-02,2.265
Rakousko,2016-01-02,0.198
Moldavsko,2016-01-02,7.04
Thajsko,2016-01-03,8.88
Kanada,2016-01-03,4.395
Spojené státy americké,2016-01-03,1.6935
Rusko,2016-01-03,2.512666666666
Irsko,2016-01-03,4.215
Švýcarsko,2016-01-03,3.475
Jižní Afrika,2016-01-03,2.405
Slovensko,2016-01-03,3.0297
Austrálie,2016-01-03,4.283
Velká Británie a Severní Irsko,2016-01-03,3.152
Španělsko,2016-01-03,4.17
Česká republika,2016-01-03,1.62
Taiwan,2016-01-03,3.035
Čína,2016-01-03,5.750296296296
Vietnam,2016-01-03,4.611333333333
Francie,2016-01-03,2.38
Švédsko,2016-01-03,6.06
Rakousko,2016-01-03,0.07
Německo,2016-01-04,3.309069444444
Thajsko,2016-01-04,4.922
Kanada,2016-01-04,8.626133333333
Portugalsko,2016-01-04,12.17
Lotyšsko,2016-01-04,0.424
Spojené státy americké,2016-01-04,3.946056910569
Japonsko,2016-01-04,3.28925
Rusko,2016-01-04,6.645162162162
Indie,2016-01-04,1.129666666666
Irsko,2016-01-04,3.4805
Mexiko,2016-01-04,5.86
Finsko,2016-01-04,6.587666666666
Norsko,2016-01-04,2.312
Švýcarsko,2016-01-04,2.198416666666
Jižní Afrika,2016-01-04,3.76
Maďarsko,2016-01-04,4.469
Slovensko,2016-01-04,3.277271317829
Austrálie,2016-01-04,3.8458125
Spojené arabské emiráty,2016-01-04,2.5684
Uzbekistán,2016-01-04,9.16
Chorvatsko,2016-01-04,0.15475
Kuvajt,2016-01-04,1.0
Itálie,2016-01-04,2.688166666666
Bulharsko,2016-01-04,2.5725
Kypr,2016-01-04,11.300166666666
Lucembursko,2016-01-04,0.114
Velká Británie a Severní Irsko,2016-01-04,2.67022
Kolumbie,2016-01-04,2.335
Kazachstán,2016-01-04,9.323
Malajsie,2016-01-04,1.239
Turecko (včetně Severokyperské Republiky),2016-01-04,15.73
Bělorusko,2016-01-04,3.27125
Řecko,2016-01-04,3.296
Slovinsko,2016-01-04,0.597
Island,2016-01-04,1.882
Ukrajina,2016-01-04,3.73495
Dánsko,2016-01-04,4.2444
Litva,2016-01-04,13.05
Polsko,2016-01-04,4.746326923076
Španělsko,2016-01-04,6.408
Černá Hora,2016-01-04,6.795
Belgie,2016-01-04,6.227444444444
Omán,2016-01-04,0.965
Pákistán,2016-01-04,12.53125
Česká republika,2016-01-04,2.3608
Nizozemsko,2016-01-04,3.186818181818
Izrael,2016-01-04,4.0245
Singapur,2016-01-04,3.755
Taiwan,2016-01-04,6.2565
Bosna a Hercegovina,2016-01-04,0.808333333333
Čína,2016-01-04,6.360621052631
Saúdská Arábie,2016-01-04,13.83725
Malta,2016-01-04,8.25
Vietnam,2016-01-04,10.571666666666
Nový Zéland,2016-01-04,4.3615
Francie,2016-01-04,4.552352941176
Rumunsko,2016-01-04,1.11575
Indonésie,2016-01-04,0.284
Korejská republika,2016-01-04,3.8
Švédsko,2016-01-04,2.2765
Rakousko,2016-01-04,4.785954545454
Alžírsko,2016-01-04,4.25
Kyrgyzstán,2016-01-04,2.755
Nigérie,2016-01-04,1.336
Hong Kong,2016-01-04,1.764428571428
Gruzie,2016-01-04,10.9775
Estonsko,2016-01-04,11.4145
Nová Kaledonie,2016-01-04,1.13
Srí Lanka,2016-01-04,1.345
Tádžikistán,2016-01-04,19.73
Katar,2016-01-04,0.009
Afghánistán,2016-01-04,6.26
Čad,2016-01-04,3.408
Monako,2016-01-04,4.01
Německo,2016-01-05,3.964107142857
Thajsko,2016-01-05,1.316
Kanada,2016-01-05,3.007909090909
Spojené státy americké,2016-01-05,3.028656488549
Japonsko,2016-01-05,3.9822
Rusko,2016-01-05,4.464472222222
Indie,2016-01-05,4.34
Irsko,2016-01-05,1.5456
Mexiko,2016-01-05,0.585
Finsko,2016-01-05,3.162
Norsko,2016-01-05,6.109166666666
Švýcarsko,2016-01-05,2.90009090909
Maďarsko,2016-01-05,4.554896551724
Slovensko,2016-01-05,3.427944642857
Irán,2016-01-05,0.03
Austrálie,2016-01-05,1.882615384615
Spojené arabské emiráty,2016-01-05,2.7825
Uzbekistán,2016-01-05,0.51
Chorvatsko,2016-01-05,3.73025
Itálie,2016-01-05,4.588086956521
Bulharsko,2016-01-05,1.6555
Kypr,2016-01-05,1.68
Velká Británie a Severní Irsko,2016-01-05,2.333660377358
Brazílie,2016-01-05,2.23175
Kazachstán,2016-01-05,2.79
Srbsko,2016-01-05,0.389
Turecko (včetně Severokyperské Republiky),2016-01-05,3.7585
Lichtenštejnsko,2016-01-05,0.124
Bělorusko,2016-01-05,0.039
Řecko,2016-01-05,3.4205
Slovinsko,2016-01-05,2.27
Island,2016-01-05,2.9875
Ukrajina,2016-01-05,5.3906
Dánsko,2016-01-05,1.531
Filipíny,2016-01-05,13.27
Litva,2016-01-05,1.827333333333
Polsko,2016-01-05,2.57856
Španělsko,2016-01-05,3.4075
Belgie,2016-01-05,3.129
Pákistán,2016-01-05,8.408
Česká republika,2016-01-05,3.1737
Nizozemsko,2016-01-05,2.770260869565
Izrael,2016-01-05,1.641333333333
Singapur,2016-01-05,3.095
Taiwan,2016-01-05,6.743181818181
Čína,2016-01-05,6.833560209424
Vietnam,2016-01-05,8.46575
Nový Zéland,2016-01-05,6.535
Ázerbájdžán,2016-01-05,0.061
Francie,2016-01-05,2.282607142857
Rumunsko,2016-01-05,6.1564
Indonésie,2016-01-05,8.696666666666
Korejská republika,2016-01-05,5.199777777777
Švédsko,2016-01-05,2.918857142857
Mongolsko,2016-01-05,7.641666666666
Argentina,2016-01-05,5.4405
Rakousko,2016-01-05,4.06125
Kyrgyzstán,2016-01-05,9.92975
Moldavsko,2016-01-05,3.715
Keňa,2016-01-05,1.61
Nigérie,2016-01-05,0.306
Hong Kong,2016-01-05,0.378
Chile,2016-01-05,14.24
Niue,2016-01-05,1.875
Korejská lid. dem. republika,2016-01-05,6.151666666666
Zambie,2016-01-05,2.25
Tunisko,2016-01-05,3.804
Katar,2016-01-05,0.107
Gibraltar,2016-01-05,0.3
Brunej,2016-01-05,6.665
Kostarika,2016-01-05,6.4
Německo,2016-01-06,3.429184210526
Thajsko,2016-01-06,1.581333333333
Kanada,2016-01-06,5.22184
Portugalsko,2016-01-06,1.1765
Spojené státy americké,2016-01-06,3.851596153846
Japonsko,2016-01-06,3.625285714285
Rusko,2016-01-06,5.258907407407
Indie,2016-01-06,2.135
Irsko,2016-01-06,2.01325
Finsko,2016-01-06,3.725833333333
Norsko,2016-01-06,2.732428571428
Švýcarsko,2016-01-06,5.174571428571
Maďarsko,2016-01-06,1.697222222222
Slovensko,2016-01-06,3.255067940552
Irán,2016-01-06,14.2
Austrálie,2016-01-06,2.053333333333
Chorvatsko,2016-01-06,2.129
Itálie,2016-01-06,5.333565217391
Bulharsko,2016-01-06,1.600142857142
Kypr,2016-01-06,0.6245
Lucembursko,2016-01-06,0.087
Velká Británie a Severní Irsko,2016-01-06,4.354666666666
Kolumbie,2016-01-06,2.345
Brazílie,2016-01-06,2.821333333333
Kazachstán,2016-01-06,3.7662
Srbsko,2016-01-06,1.922
Malajsie,2016-01-06,6.965
Turecko (včetně Severokyperské Republiky),2016-01-06,0.782
Bělorusko,2016-01-06,17.580714285714
Řecko,2016-01-06,18.166666666666
Slovinsko,2016-01-06,4.3495
Island,2016-01-06,1.34
Ukrajina,2016-01-06,2.819923076923
Dánsko,2016-01-06,1.059666666666
Filipíny,2016-01-06,4.074
Litva,2016-01-06,0.8015
Polsko,2016-01-06,3.593315789473
Španělsko,2016-01-06,4.101888888888
Belgie,2016-01-06,4.508
Pákistán,2016-01-06,2.9
Arménie,2016-01-06,7.703
Česká republika,2016-01-06,6.105833333333
Nizozemsko,2016-01-06,5.817
Izrael,2016-01-06,4.755375
Singapur,2016-01-06,3.76
Taiwan,2016-01-06,4.647785714285
Bosna a Hercegovina,2016-01-06,8.55
Čína,2016-01-06,6.568223557692
Malta,2016-01-06,2.392
Vietnam,2016-01-06,8.188571428571
Nový Zéland,2016-01-06,2.383
Francie,2016-01-06,4.33465
Rumunsko,2016-01-06,2.363
Indonésie,2016-01-06,3.082
Korejská republika,2016-01-06,3.793222222222
Švédsko,2016-01-06,3.74775
Mongolsko,2016-01-06,11.16
Rakousko,2016-01-06,2.393210526315
Keňa,2016-01-06,6.925
Hong Kong,2016-01-06,1.945
Gruzie,2016-01-06,4.57
Kuba,2016-01-06,1.604125
Estonsko,2016-01-06,0.8
Andorra,2016-01-06,14.9125
Jordánsko,2016-01-06,2.36
Tunisko,2016-01-06,8.36
Togo,2016-01-06,10.14
Německo,2016-01-07,3.967489361702
Thajsko,2016-01-07,5.385
Kanada,2016-01-07,4.369321428571
Lotyšsko,2016-01-07,4.745
Spojené státy americké,2016-01-07,3.381172727272
Japonsko,2016-01-07,6.756631578947
Rusko,2016-01-07,4.951347826086
Indie,2016-01-07,3.19
Irsko,2016-01-07,7.547
Mexiko,2016-01-07,1.463
Finsko,2016-01-07,4.172666666666
Norsko,2016-01-07,4.90875
Švýcarsko,2016-01-07,2.9008
Uruguay,2016-01-07,11.96
Maďarsko,2016-01-07,3.302846153846
Slovensko,2016-01-07,3.603837563451
Irán,2016-01-07,22.64
Austrálie,2016-01-07,4.963263157894
Spojené arabské emiráty,2016-01-07,2.7825
Chorvatsko,2016-01-07,2.242
Itálie,2016-01-07,2.985172413793
Bulharsko,2016-01-07,0.5
Kypr,2016-01-07,1.3925
Lucembursko,2016-01-07,1.4
Velká Británie a Severní Irsko,2016-01-07,3.112869565217
Brazílie,2016-01-07,0.013
Kazachstán,2016-01-07,5.41
Srbsko,2016-01-07,0.295
Malajsie,2016-01-07,2.122
Turecko (včetně Severokyperské Republiky),2016-01-07,4.598
Lichtenštejnsko,2016-01-07,10.60125
Bělorusko,2016-01-07,2.07
Řecko,2016-01-07,5.999666666666
Slovinsko,2016-01-07,5.6
Island,2016-01-07,4.725
Ukrajina,2016-01-07,4.042416666666
Dánsko,2016-01-07,4.6022
Filipíny,2016-01-07,8.7
Litva,2016-01-07,0.326
Polsko,2016-01-07,4.567375
Španělsko,2016-01-07,7.983538461538
Belgie,2016-01-07,3.7512
Peru,2016-01-07,1.865
Česká republika,2016-01-07,7.96
Nizozemsko,2016-01-07,2.33423076923
Izrael,2016-01-07,1.481666666666
Singapur,2016-01-07,0.731666666666
Taiwan,2016-01-07,5.994444444444
Čína,2016-01-07,7.750618705035
Saúdská Arábie,2016-01-07,1.924
Malta,2016-01-07,3.5925
Vietnam,2016-01-07,5.536375
Nový Zéland,2016-01-07,2.388
Francie,2016-01-07,2.39955
Rumunsko,2016-01-07,2.535
Indonésie,2016-01-07,0.95
Korejská republika,2016-01-07,6.4958
Švédsko,2016-01-07,3.715166666666
Mongolsko,2016-01-07,13.605
Argentina,2016-01-07,2.865
Rakousko,2016-01-07,3.397696969696
Kyrgyzstán,2016-01-07,11.25
Moldavsko,2016-01-07,6.66
Hong Kong,2016-01-07,10.7
Gruzie,2016-01-07,0.001
Chile,2016-01-07,9.695
Kuba,2016-01-07,1.498333333333
Estonsko,2016-01-07,3.06
Libanon,2016-01-07,5.115
Egypt,2016-01-07,4.01
Andorra,2016-01-07,14.41
Zambie,2016-01-07,2.36
Katar,2016-01-07,1.2005
Eswatini,2016-01-07,7.75
Německo,2016-01-08,2.954848484848
Thajsko,2016-01-08,1.7368
Kanada,2016-01-08,3.912176470588
Portugalsko,2016-01-08,4.6002
Lotyšsko,2016-01-08,13.54
Spojené státy americké,2016-01-08,4.039769230769
Japonsko,2016-01-08,4.11923076923
Rusko,2016-01-08,7.29202739726
Indie,2016-01-08,4.317
Irsko,2016-01-08,1.407
Finsko,2016-01-08,4.61775
Norsko,2016-01-08,4.074666666666
Albánie,2016-01-08,3.795
Švýcarsko,2016-01-08,3.040333333333
Maďarsko,2016-01-08,7.671076923076
Slovensko,2016-01-08,3.218847635726
Austrálie,2016-01-08,4.914217391304
Spojené arabské emiráty,2016-01-08,4.22375
Uzbekistán,2016-01-08,16.18
Chorvatsko,2016-01-08,3.168333333333
Itálie,2016-01-08,4.160409090909
Bulharsko,2016-01-08,1.751375
Lucembursko,2016-01-08,0.34
Velká Británie a Severní Irsko,2016-01-08,4.442727272727
Brazílie,2016-01-08,1.43
Kazachstán,2016-01-08,3.243
Srbsko,2016-01-08,0.399
Malajsie,2016-01-08,0.047
Turecko (včetně Severokyperské Republiky),2016-01-08,2.696333333333
Bolívie,2016-01-08,1.306
Bělorusko,2016-01-08,4.721875
Řecko,2016-01-08,4.0615
Slovinsko,2016-01-08,3.3895
Island,2016-01-08,6.13
Ukrajina,2016-01-08,5.712777777777
Dánsko,2016-01-08,3.407909090909
Litva,2016-01-08,2.24275
Polsko,2016-01-08,4.759080645161
Španělsko,2016-01-08,4.416277777777
Belgie,2016-01-08,2.094375
Pákistán,2016-01-08,19.505
Česká republika,2016-01-08,1.4905
Nizozemsko,2016-01-08,8.51264
Izrael,2016-01-08,3.193272727272
Singapur,2016-01-08,2.29
Taiwan,2016-01-08,6.121142857142
Čína,2016-01-08,7.090445916114
Malta,2016-01-08,1.445
Vietnam,2016-01-08,7.653
Nový Zéland,2016-01-08,2.92
Ázerbájdžán,2016-01-08,7.467142857142
Francie,2016-01-08,2.223333333333
Rumunsko,2016-01-08,2.413
Indonésie,2016-01-08,0.759
Korejská republika,2016-01-08,7.034
Švédsko,2016-01-08,3.402125
Maroko,2016-01-08,1.6025
Rakousko,2016-01-08,2.1735
Kyrgyzstán,2016-01-08,15.925
Moldavsko,2016-01-08,2.44
Keňa,2016-01-08,4.915
Nigérie,2016-01-08,7.8775
Hong Kong,2016-01-08,1.7036
Estonsko,2016-01-08,0.88
Nová Kaledonie,2016-01-08,4.06
Andorra,2016-01-08,14.55
Korejská lid. dem. republika,2016-01-08,1.335
Curaçao,2016-01-08,4.135
Tunisko,2016-01-08,6.447
Guatemala,2016-01-08,0.4
Německo,2016-01-09,2.972333333333
Thajsko,2016-01-09,14.846666666666
Kanada,2016-01-09,3.236166666666
Portugalsko,2016-01-09,7.975
Spojené státy americké,2016-01-09,5.195627906976
Rusko,2016-01-09,5.980421052631
Norsko,2016-01-09,2.861333333333
Švýcarsko,2016-01-09,1.46
Maďarsko,2016-01-09,2.712
Slovensko,2016-01-09,2.902419354838
Austrálie,2016-01-09,5.4425
Itálie,2016-01-09,3.8505
Bulharsko,2016-01-09,0.423
Velká Británie a Severní Irsko,2016-01-09,3.816117647058
Kolumbie,2016-01-09,2.92
Brazílie,2016-01-09,6.156333333333
Kazachstán,2016-01-09,17.81
Turecko (včetně Severokyperské Republiky),2016-01-09,8.91
Bělorusko,2016-01-09,2.251
Slovinsko,2016-01-09,10.53
Ukrajina,2016-01-09,4.2425
Polsko,2016-01-09,3.615714285714
Španělsko,2016-01-09,1.705
Pákistán,2016-01-09,5.49
Česká republika,2016-01-09,6.58
Izrael,2016-01-09,0.199
Singapur,2016-01-09,6.675
Taiwan,2016-01-09,8.598333333333
Čína,2016-01-09,7.173111111111
Vietnam,2016-01-09,12.425
Francie,2016-01-09,2.0765
Korejská republika,2016-01-09,8.2
Švédsko,2016-01-09,1.4875
Mongolsko,2016-01-09,2.655
Rakousko,2016-01-09,0.379
Hong Kong,2016-01-09,1.1095
Gruzie,2016-01-09,3.065
Srí Lanka,2016-01-09,0.41
Německo,2016-01-10,4.4984
Spojené státy americké,2016-01-10,3.335666666666
Rusko,2016-01-10,4.216
Švýcarsko,2016-01-10,1.016
Slovensko,2016-01-10,2.0530625
Itálie,2016-01-10,13.745
Velká Británie a Severní Irsko,2016-01-10,2.8575
Ukrajina,2016-01-10,6.08
Litva,2016-01-10,2.24
Polsko,2016-01-10,2.12
Belgie,2016-01-10,0.502
Nizozemsko,2016-01-10,0.645
Čína,2016-01-10,7.334
Vietnam,2016-01-10,10.4665
Francie,2016-01-10,9.121666666666
Rakousko,2016-01-10,1.673
Německo,2016-01-11,3.362451086956
Thajsko,2016-01-11,4.63175
Kanada,2016-01-11,3.11635
Portugalsko,2016-01-11,6.871
Lotyšsko,2016-01-11,4.012
Spojené státy americké,2016-01-11,3.664069565217
Japonsko,2016-01-11,2.890714285714
Rusko,2016-01-11,6.061015873015
Indie,2016-01-11,2.221
Irsko,2016-01-11,2.444333333333
Mexiko,2016-01-11,15.44
Finsko,2016-01-11,3.533125
Norsko,2016-01-11,5.3768
Švýcarsko,2016-01-11,8.432837837837
Jižní Afrika,2016-01-11,4.155333333333
Maďarsko,2016-01-11,4.327846153846
Slovensko,2016-01-11,3.46936925515
Austrálie,2016-01-11,4.590777777777
Spojené arabské emiráty,2016-01-11,8.88575
Uzbekistán,2016-01-11,3.17
Chorvatsko,2016-01-11,3.082
Kuvajt,2016-01-11,1.625
Itálie,2016-01-11,6.522166666666
Bulharsko,2016-01-11,5.023
Kypr,2016-01-11,11.2875
Lucembursko,2016-01-11,1.1505
Velká Británie a Severní Irsko,2016-01-11,4.521464788732
Kazachstán,2016-01-11,4.679
Srbsko,2016-01-11,2.2655
Turecko (včetně Severokyperské Republiky),2016-01-11,2.9766
Bělorusko,2016-01-11,4.275
Řecko,2016-01-11,3.48275
Slovinsko,2016-01-11,1.303
Ukrajina,2016-01-11,7.60605
Dánsko,2016-01-11,3.95675
Filipíny,2016-01-11,0.06
Litva,2016-01-11,1.364
Polsko,2016-01-11,3.454392857142
Španělsko,2016-01-11,3.842307692307
Černá Hora,2016-01-11,1.455
Belgie,2016-01-11,6.11
Pákistán,2016-01-11,2.62
Česká republika,2016-01-11,2.3502
Nizozemsko,2016-01-11,5.9623
Izrael,2016-01-11,2.881
Makedonie,2016-01-11,0.051
Singapur,2016-01-11,10.691
Taiwan,2016-01-11,4.034733333333
Bosna a Hercegovina,2016-01-11,1.446666666666
Čína,2016-01-11,7.941666666666
Malta,2016-01-11,0.728
Vietnam,2016-01-11,10.005875
Nový Zéland,2016-01-11,3.24075
Francie,2016-01-11,5.905032258064
Rumunsko,2016-01-11,3.99875
Indonésie,2016-01-11,2.780333333333
Korejská republika,2016-01-11,5.8195
Švédsko,2016-01-11,8.150846153846
Mongolsko,2016-01-11,1.951
Argentina,2016-01-11,0.976
Rakousko,2016-01-11,8.186387096774
Kyrgyzstán,2016-01-11,7.5775
Moldavsko,2016-01-11,1.436666666666
Hong Kong,2016-01-11,2.5
Chile,2016-01-11,9.195
Kuba,2016-01-11,3.68
Estonsko,2016-01-11,8.92
Egypt,2016-01-11,3.42
Tanzanie,2016-01-11,3.92
Tunisko,2016-01-11,2.46
Katar,2016-01-11,0.635333333333
Kajmanské ostrovy,2016-01-11,5.151
Guatemala,2016-01-11,2.548
Německo,2016-01-12,3.023393442622
Thajsko,2016-01-12,2.554
Kanada,2016-01-12,4.325266666666
Portugalsko,2016-01-12,1.37225
Lotyšsko,2016-01-12,1.7
Spojené státy americké,2016-01-12,3.484034482758
Japonsko,2016-01-12,4.257733333333
Rusko,2016-01-12,4.71403030303
Indie,2016-01-12,0.051
Irsko,2016-01-12,5.043571428571
Finsko,2016-01-12,3.679833333333
Norsko,2016-01-12,4.76675
Švýcarsko,2016-01-12,4.6972
Jižní Afrika,2016-01-12,1.8
Maďarsko,2016-01-12,5.273790697674
Slovensko,2016-01-12,3.450657851239
Austrálie,2016-01-12,2.9064
Spojené arabské emiráty,2016-01-12,0.7575
Uzbekistán,2016-01-12,7.58
Chorvatsko,2016-01-12,4.147
Itálie,2016-01-12,3.256708333333
Bulharsko,2016-01-12,3.9995
Kypr,2016-01-12,11.15
Lucembursko,2016-01-12,1.549333333333
Velká Británie a Severní Irsko,2016-01-12,2.35936
Brazílie,2016-01-12,3.27
Kazachstán,2016-01-12,0.009
Srbsko,2016-01-12,3.695
Malajsie,2016-01-12,5.045
Turecko (včetně Severokyperské Republiky),2016-01-12,1.4248
Bělorusko,2016-01-12,2.0195
Řecko,2016-01-12,9.03525
Slovinsko,2016-01-12,1.1498
Island,2016-01-12,6.18
Ukrajina,2016-01-12,5.537222222222
Dánsko,2016-01-12,5.797666666666
Litva,2016-01-12,1.138
Polsko,2016-01-12,2.980406779661
Španělsko,2016-01-12,3.042166666666
Černá Hora,2016-01-12,7.305
Belgie,2016-01-12,1.411333333333
Omán,2016-01-12,1.025
Česká republika,2016-01-12,2.143428571428
Nizozemsko,2016-01-12,5.301631578947
Izrael,2016-01-12,7.426666666666
Makedonie,2016-01-12,0.028
Ekvádor,2016-01-12,1.646
Singapur,2016-01-12,0.416
Taiwan,2016-01-12,5.517777777777
Bosna a Hercegovina,2016-01-12,0.556
Čína,2016-01-12,7.056308823529
Saúdská Arábie,2016-01-12,3.575
Vietnam,2016-01-12,6.094818181818
Nový Zéland,2016-01-12,4.528
Francie,2016-01-12,3.027391304347
Rumunsko,2016-01-12,2.4915
Indonésie,2016-01-12,13.54
Korejská republika,2016-01-12,4.939666666666
Švédsko,2016-01-12,3.655
Argentina,2016-01-12,2.88
Rakousko,2016-01-12,4.667176470588
Alžírsko,2016-01-12,3.46
Kyrgyzstán,2016-01-12,0.011
Nigérie,2016-01-12,1.471
Hong Kong,2016-01-12,5.061714285714
Chile,2016-01-12,2.012666666666
Estonsko,2016-01-12,5.606666666666
Srí Lanka,2016-01-12,3.0885
Tunisko,2016-01-12,3.6425
Katar,2016-01-12,0.231
Martinik,2016-01-12,0.218
Německo,2016-01-13,2.494707142857
Thajsko,2016-01-13,6.391666666666
Kanada,2016-01-13,2.780631578947
Portugalsko,2016-01-13,1.57
Lotyšsko,2016-01-13,0.513
Spojené státy americké,2016-01-13,3.760439252336
Japonsko,2016-01-13,3.231166666666
Rusko,2016-01-13,6.731133333333
Indie,2016-01-13,1.50325
Irsko,2016-01-13,4.33225
Finsko,2016-01-13,5.833111111111
Norsko,2016-01-13,2.766
Švýcarsko,2016-01-13,5.3583
Maďarsko,2016-01-13,2.924421052631
Slovensko,2016-01-13,3.403051282051
Austrálie,2016-01-13,7.19115
Spojené arabské emiráty,2016-01-13,4.5
Uzbekistán,2016-01-13,2.524
Chorvatsko,2016-01-13,1.8562
Kuvajt,2016-01-13,0.069
Itálie,2016-01-13,4.95575
Bulharsko,2016-01-13,1.233
Kypr,2016-01-13,1.371666666666
Velká Británie a Severní Irsko,2016-01-13,3.215782608695
Kazachstán,2016-01-13,5.4025
Malajsie,2016-01-13,7.456333333333
Turecko (včetně Severokyperské Republiky),2016-01-13,7.0884
Bělorusko,2016-01-13,4.714571428571
Etiopie,2016-01-13,5.335
Řecko,2016-01-13,4.836142857142
Slovinsko,2016-01-13,12.306666666666
Island,2016-01-13,3.545
Ukrajina,2016-01-13,5.847129032258
Dánsko,2016-01-13,4.72375
Litva,2016-01-13,3.201666666666
Polsko,2016-01-13,3.464158730158
Španělsko,2016-01-13,4.3824375
Belgie,2016-01-13,3.359571428571
Česká republika,2016-01-13,2.7745
Nizozemsko,2016-01-13,3.347869565217
Izrael,2016-01-13,5.273714285714
Singapur,2016-01-13,3.9275
Taiwan,2016-01-13,3.859
Čína,2016-01-13,6.207763358778
Vietnam,2016-01-13,8.804875
Nový Zéland,2016-01-13,4.2635
Ázerbájdžán,2016-01-13,15.704
Francie,2016-01-13,3.205818181818
Rumunsko,2016-01-13,4.342142857142
Indonésie,2016-01-13,11.886666666666
Korejská republika,2016-01-13,3.9825
Švédsko,2016-01-13,4.434153846153
Mongolsko,2016-01-13,6.211666666666
Rakousko,2016-01-13,2.86478125
Moldavsko,2016-01-13,0.12
Hong Kong,2016-01-13,13.03
Gruzie,2016-01-13,20.64
Estonsko,2016-01-13,2.713
Tanzanie,2016-01-13,4.18
Tádžikistán,2016-01-13,0.16
Tunisko,2016-01-13,3.325
Německo,2016-01-14,3.098580152671
Thajsko,2016-01-14,4.647
Kanada,2016-01-14,4.577823529411
Portugalsko,2016-01-14,0.51
Lotyšsko,2016-01-14,0.3
Spojené státy americké,2016-01-14,3.6745
Japonsko,2016-01-14,2.15575
Rusko,2016-01-14,6.331564102564
Indie,2016-01-14,0.946
Irsko,2016-01-14,2.0674
Mexiko,2016-01-14,4.27
Finsko,2016-01-14,5.063625
Norsko,2016-01-14,2.283
Švýcarsko,2016-01-14,5.336541666666
Jižní Afrika,2016-01-14,0.245
Maďarsko,2016-01-14,1.044
Slovensko,2016-01-14,3.380889961389
Irán,2016-01-14,0.054
Austrálie,2016-01-14,5.366476190476
Spojené arabské emiráty,2016-01-14,2.5835
Uzbekistán,2016-01-14,17.96
Chorvatsko,2016-01-14,7.64
Itálie,2016-01-14,3.14609375
Bulharsko,2016-01-14,5.613666666666
Kypr,2016-01-14,3.535
Velká Británie a Severní Irsko,2016-01-14,2.709194444444
Brazílie,2016-01-14,1.106
Kazachstán,2016-01-14,2.02325
Srbsko,2016-01-14,11.683333333333
Turecko (včetně Severokyperské Republiky),2016-01-14,0.35975
Lichtenštejnsko,2016-01-14,0.982
Bělorusko,2016-01-14,3.8226
Etiopie,2016-01-14,7.185
Řecko,2016-01-14,12.49
Slovinsko,2016-01-14,3.375
Island,2016-01-14,5.721
Ukrajina,2016-01-14,5.0014
Dánsko,2016-01-14,4.004
Litva,2016-01-14,1.741
Polsko,2016-01-14,3.224048780487
Španělsko,2016-01-14,3.78238095238
Belgie,2016-01-14,6.1365
Arménie,2016-01-14,19.71
Česká republika,2016-01-14,7.60125
Nizozemsko,2016-01-14,4.963076923076
Izrael,2016-01-14,4.255
Makedonie,2016-01-14,22.515
Singapur,2016-01-14,2.135
Taiwan,2016-01-14,8.1275
Bosna a Hercegovina,2016-01-14,7.38125
Čína,2016-01-14,7.337974747474
Saúdská Arábie,2016-01-14,8.25
Malta,2016-01-14,0.9845
Vietnam,2016-01-14,7.569357142857
Nový Zéland,2016-01-14,1.6475
Francie,2016-01-14,3.359885714285
Rumunsko,2016-01-14,9.222571428571
Indonésie,2016-01-14,6.01
Korejská republika,2016-01-14,4.728133333333
Švédsko,2016-01-14,3.658571428571
Mongolsko,2016-01-14,16.1175
Rakousko,2016-01-14,2.840083333333
Alžírsko,2016-01-14,2.446
Kyrgyzstán,2016-01-14,19.97
Moldavsko,2016-01-14,18.41
Hong Kong,2016-01-14,4.116
Gruzie,2016-01-14,3.74
Kuba,2016-01-14,1.448
Estonsko,2016-01-14,0.445
Libanon,2016-01-14,0.078
Guernsey,2016-01-14,0.049
Niue,2016-01-14,0.965
Katar,2016-01-14,0.965
Burkina Faso,2016-01-14,5.215
Německo,2016-01-15,3.335595588235
Thajsko,2016-01-15,3.162666666666
Kanada,2016-01-15,4.436545454545
Portugalsko,2016-01-15,3.265
Lotyšsko,2016-01-15,1.772333333333
Spojené státy americké,2016-01-15,3.61703539823
